name,altnames,roles
communication,[communicative|discussions|communication skills|articulate|discussion|communicator],[]
verbal,[spoken],[]
written,[],[]
critical thinking,[],[]
problem solving,[problem-solving|solve problems|complex problems|problems],[]
high energy,[high-energy],[]
detail oriented,[detail-oriented],[]
collaboration,[collaborative|collaborating|collaboratively],[]
mentoring,[mentor],[]
passionate,[passion|enjoy],[]
understanding,[],[]
interest,[],[]
knowledge,[],[]
teamwork,[team work|team],[]
experience,[],[]
english,[],[]
autonomous,[autonomously|self-starter|proactive],[]
agile,[],[]
scrum,[],[]
prioritization,[],[]
planning,[],[]
automation,[automate],[]
debug,[debugging|troubleshooting|trouble shoot|trouble shooting],[]
design,[designing],[]
thoughtful,[],[]
decision making,[decision-making],[]
fast-paced,[fast paced|fast pace],[]
learning,[continously learning|continously growing|continuous learning|love of learning|learn|active learning|learner],[]
attention to detail,[],[]
abstract thinking,[think abstractly],[]
productive,[deadlines],[]
resourceful,[],[]
interpersonal skills,[relationships|relationship],[]
responsibility,[responsible],[]
empathy,[empathetic],[]
explain,[],[]
listen,[],[]
motivation,[self-motivated|driven],[]
time management,[time|manage time],[]
analysis,[analyze],[]
organization,[organizational skills],[]
integrity,[ethical],[]
innovative,[],[]
aptitude,[],[]
skill,[skills],[]
cross-functional,[cross functional |cross-disciplinary],[]
respectful,[],[]
humble,[],[]
ambition,[ambitious],[]
think,[thinking],[]
high bar,[],[]
processes,[],[]
curious,[],[]
creative,[],[]
helpful,[],[]
patient,[],[]
